Time	Water Level
39.104	12.1
39.341	12
39.578	12
39.815	12
40.052	12
40.289	11.89
40.526	11.89
40.763	11.89
41	11.8
41.237	11.8
41.474	11.8
41.711	11.8
41.948	11.69
42.185	11.69
42.422	11.69
42.659	11.6
42.896	11.6
43.133	11.6
43.37	11.5
43.607	11.5
43.844	11.5
44.081	11.39
44.318	11.39
44.555	11.39
44.792	11.39
45.029	11.3
45.266	11.3
45.503	11.3
45.74	11.19
45.977	11.19
46.214	11.19
46.451	11.1
46.688	11.1
46.925	11.1
47.162	11
47.399	11
47.636	11
47.873	10.89
48.11	10.89
48.347	10.89
48.584	10.8
48.821	10.8
49.058	10.8
49.295	10.69
49.532	10.69
49.769	10.69
50.006	10.6
50.243	10.6
50.48	10.6
50.717	10.5
50.954	10.5
51.191	10.5
51.428	10.5
51.665	10.39
51.902	10.39
52.139	10.39
52.376	10.3
52.613	10.3
52.85	10.3
53.087	10.3
53.324	10.19
53.561	10.19
53.798	10.19
54.035	10.1
54.272	10.1
54.509	10.1
54.746	10.1
54.983	10
55.22	10
55.457	10
55.694	10
55.931	10
56.168	9.89
56.405	9.89
56.642	9.89
56.879	9.89
57.116	9.8
57.353	9.8
57.59	9.8
57.827	9.8
58.064	9.8
58.301	9.69
58.538	9.69
58.775	9.69
59.012	9.69
59.249	9.69
59.486	9.6
59.723	9.6
59.96	9.6
60.197	9.6
60.434	9.6
60.671	9.6
60.908	9.6
61.145	9.5
61.382	9.5
61.619	9.5
61.856	9.5
62.093	9.5
62.33	9.5
62.567	9.5
62.804	9.5
63.041	9.39
63.278	9.39
63.515	9.39
63.752	9.39
63.989	9.39
64.226	9.39
64.463	9.39
64.7	9.39
64.937	9.39
65.174	9.39
65.411	9.39
65.648	9.3
65.885	9.3
66.122	9.3
66.359	9.3
66.596	9.3
66.833	9.3
67.07	9.3
67.307	9.3
67.544	9.3
67.781	9.3
68.018	9.3
68.255	9.3
68.492	9.3
68.729	9.3
68.966	9.3
69.203	9.3
69.44	9.3
69.677	9.3
69.914	9.3
70.151	9.3
70.388	9.3
70.625	9.3
70.862	9.3
71.099	9.3
71.336	9.3
71.573	9.3
71.81	9.3
72.047	9.3
72.284	9.3
72.521	9.3
72.758	9.3
72.995	9.3
73.232	9.3
73.469	9.3
73.706	9.3
73.943	9.3
74.18	9.3
74.417	9.3
74.654	9.39
74.891	9.39
75.128	9.39
75.365	9.39
75.602	9.39
75.839	9.39
76.076	9.39
76.313	9.39
76.55	9.39
76.787	9.39
77.024	9.39
77.261	9.39
77.498	9.39
77.735	9.39
77.972	9.39
78.209	9.39
78.446	9.5
78.683	9.5
78.92	9.5
79.157	9.5
79.394	9.5
79.631	9.5
79.868	9.5
80.105	9.5
80.342	9.5
80.579	9.5
80.816	9.5
81.053	9.5
81.29	9.5
81.527	9.6
81.764	9.6
82.001	9.6
82.238	9.6
82.475	9.6
82.712	9.6
82.949	9.6
83.186	9.6
83.423	9.6
83.66	9.6
83.897	9.6
84.134	9.69
84.371	9.69
84.608	9.69
84.845	9.69
85.082	9.69
85.319	9.69
85.556	9.69
85.793	9.69
86.03	9.69
86.267	9.69
86.504	9.69
86.741	9.69
86.978	9.8
87.215	9.8
87.452	9.8
87.689	9.8
87.926	9.8
88.163	9.8
88.4	9.8
88.637	9.8
88.874	9.8
89.111	9.8
89.348	9.8
89.585	9.8
89.822	9.8
90.059	9.89
90.296	9.89
90.533	9.89
90.77	9.89
91.007	9.89
91.244	9.89
91.481	9.89
91.718	9.89
91.955	9.89
92.192	9.89
92.429	9.89
92.666	9.89
92.903	9.89
93.14	9.89
93.377	9.89
93.614	10
93.851	10
94.088	10
94.325	10
94.562	10
94.799	10
95.036	10
95.273	10
95.51	10
95.747	10
95.984	10
96.221	10
96.458	10
96.695	10
96.932	10
97.169	10
97.406	10
97.643	10
97.88	10
98.117	10
98.354	10.1
98.591	10.1
98.828	10.1
99.065	10.1
99.302	10.1
99.539	10.1
99.776	10.1
100.013	10.1
100.25	10.1
100.487	10.1
100.724	10.1
100.961	10.1
101.198	10.1
101.435	10.1
101.672	10.1
101.909	10.1
102.146	10.1
102.383	10.1
102.62	10.1
102.857	10.1
103.094	10.1
103.331	10.1
103.568	10.1
103.805	10.1
104.042	10.1
104.279	10.1
104.516	10.1
104.753	10.1
104.99	10.1
105.227	10.1
105.464	10.1
105.701	10.1
105.938	10.1
106.175	10.1
106.412	10.1
106.649	10.1
106.886	10.1
107.123	10.1
107.36	10.1
107.597	10.1
107.834	10.1
108.071	10.1
108.308	10.1
108.545	10.1
108.782	10.1
109.019	10.1
109.256	10.1
109.493	10.1
109.73	10.1
109.967	10.1
110.204	10.1
110.441	10.1
110.678	10.1
110.915	10.1
111.152	10.1
111.389	10.1
111.626	10.1
111.863	10.1
112.1	10.1
112.337	10.1
112.574	10.1
112.811	10.1
113.048	10.1
113.285	10.1
113.522	10.1
113.759	10.1
113.996	10.1
114.233	10.1
114.47	10.1
114.707	10.1
114.944	10.1
115.181	10.1
115.418	10.1
115.655	10.1
115.892	10.1
116.129	10.1
116.366	10.1
116.603	10.1
116.84	10.1
117.077	10.1
117.314	10.1
117.551	10.1
117.788	10.1
118.025	10.1
118.262	10.1
118.499	10.1
118.736	10.1
118.973	10.1
119.21	10.1
119.447	10
119.684	10
119.921	10
120.158	10
120.395	10
120.632	10
120.869	10
121.106	10
121.343	10
121.58	10
121.817	10
122.054	10
122.291	10
122.528	10
122.765	10
123.002	10
123.239	10
123.476	10
123.713	10
123.95	10
124.187	10
124.424	10
124.661	10
124.898	10
125.135	10
125.372	10
125.609	10
125.846	10
126.083	10
126.32	10
126.557	10
126.794	10
127.031	10
127.268	10
127.505	10
127.742	10
127.979	10
128.216	10
128.453	10
128.69	10
128.927	10
129.164	10
129.401	10
129.638	10
129.875	10
130.112	10
130.349	10
130.586	10
130.823	10
131.06	9.89
131.297	9.89
131.534	9.89
131.771	9.89
132.008	9.89
132.245	9.89
132.482	9.89
132.719	9.89
132.956	9.89
133.193	9.89
133.43	9.89
133.667	9.89
133.904	9.89
134.141	9.89
134.378	9.89
134.615	9.89
134.852	9.89
135.089	9.89
135.326	9.89
135.563	9.89
135.8	9.89
136.037	9.89
136.274	9.89
136.511	9.89
136.748	9.89
136.985	9.89
137.222	9.89
137.459	9.89
137.696	9.89
137.933	9.89
138.17	9.89
138.407	9.89
138.644	9.89
138.881	9.89
139.118	9.89
139.355	9.89
139.592	9.89
139.829	9.89
140.066	9.89
140.303	9.89
140.54	9.89
140.777	9.89
141.014	9.89
141.251	9.89
141.488	9.89
141.725	9.89
141.962	9.89
142.199	9.89
142.436	9.89
142.673	9.89
142.91	9.89
143.147	9.89
143.384	9.89
143.621	9.89
143.858	9.89
144.095	9.89
144.332	9.89
144.569	9.89
144.806	9.89
145.043	9.89
145.28	9.89
145.517	9.89
145.754	9.89
145.991	9.89
146.228	9.89
146.465	9.89
146.702	9.89
146.939	9.89
147.176	9.89
147.413	9.89
147.65	9.89
147.887	9.89
148.124	9.89
148.361	9.89
148.598	9.89
148.835	9.89
149.072	9.89
149.309	9.89
149.546	9.89
149.783	9.89
150.02	9.89
150.257	9.89
150.494	9.89
150.731	9.89
150.968	9.89
151.205	9.89
151.442	9.89
151.679	9.89
151.916	9.89
152.153	9.89
152.39	9.89
152.627	9.89
152.864	9.89
153.101	9.89
153.338	9.89
153.575	9.89
153.812	9.89
154.049	9.89
154.286	9.89
154.523	9.89
154.76	9.89
154.997	9.89
155.234	9.89
155.471	9.89
155.708	9.89
155.945	9.89
156.182	9.89
156.419	9.89
156.656	9.89
156.893	9.89
157.13	9.89
157.367	9.89
157.604	9.89
157.841	9.89
158.078	9.89
158.315	9.89
158.552	9.89
158.789	9.89
159.026	9.89
159.263	9.89
159.5	9.89
159.737	9.89
159.974	9.89
160.211	9.89
160.448	9.89
160.685	9.89
160.922	9.89
161.159	9.89
161.396	9.89
161.633	9.89
161.87	9.89
162.107	9.89
162.344	9.89
162.581	9.89
162.818	9.89
163.055	9.89
163.292	9.89
163.529	9.89
163.766	9.89
164.003	9.89
164.24	9.89
164.477	9.89
164.714	9.89
164.951	9.89
165.188	9.89
165.425	9.89
165.662	9.89
165.899	9.89
166.136	9.89
166.373	9.89
166.61	9.89
166.847	9.89
167.084	9.89
167.321	9.89
167.558	9.89
167.795	9.89
168.032	9.89
168.269	9.89
168.506	10
168.743	10
168.98	10
169.217	10
169.454	10
169.691	10
169.928	10
170.165	10
170.402	10
170.639	10
170.876	10
171.113	10
171.35	10
171.587	10
171.824	10
172.061	10
172.298	10
172.535	10
172.772	10
173.009	10
173.246	10
173.483	10
173.72	10
173.957	10
174.194	10
174.431	10
174.668	10
174.905	10
175.142	10
175.379	10
175.616	10
175.853	10
176.09	10
176.327	10
176.564	10
176.801	10
177.038	10
177.275	10
177.512	10
177.749	10
177.986	10
178.223	10
178.46	10
178.697	10
178.934	10
179.171	10
179.408	10
179.645	10
179.882	10
180.119	10
180.356	10
180.593	10
180.83	10
181.067	10
181.304	10
181.541	10
181.778	10
182.015	10
182.252	10
182.489	10
182.726	10
182.963	10
183.2	10
183.437	10
183.674	10
183.911	10
184.148	10
184.385	10
184.622	10
184.859	10
185.096	10
185.333	10
185.57	10
185.807	10
186.044	10
186.281	10
186.518	10
186.755	10
186.992	10
187.229	10
187.466	10
187.703	10
187.94	10
188.177	10
188.414	10
188.651	10
188.888	10
189.125	10
189.362	10
189.599	10
189.836	10
190.073	10
190.31	10
190.547	10
190.784	10
191.021	10
191.258	10
191.495	10
191.732	10
191.969	10
192.206	10
192.443	10
192.68	10
192.917	10
193.154	10
193.391	10
193.628	10
193.865	10
194.102	10
194.339	10
194.576	10
194.813	10
195.05	10
195.287	10
195.524	10
195.761	10
195.998	10
196.235	10
196.472	10
196.709	10
196.946	10
197.183	10
197.42	10
197.657	10
197.894	10
198.131	10
198.368	10
198.605	10
198.842	10
199.079	10
199.316	10
199.553	10
199.79	10
